model,mode,entity_type,precision,recall,f1,tp,fp,fn
hf_bert_base_ner,partial,PERSON,0.5015052684395384,0.4830836152730788,0.49212210733628753,1999,1987,2139
hf_bert_base_ner,partial,ORG,0.06617544835256499,0.2446043165467626,0.10416894627420943,476,6717,1470
hf_bert_base_ner,partial,LOC,0.24790419161676647,0.5675119945167924,0.34507188997707855,828,2512,631
hf_bert_base_ner,partial,DATETIME,0.0,0.0,0.0,0,0,9536
hf_bert_base_ner,partial,QUANTITY,0.0,0.0,0.0,0,0,664
hf_bert_base_ner,partial,CODE,0.0,0.0,0.0,0,0,1612
hf_bert_base_ner,partial,DEM,0.0,0.0,0.0,0,0,917
hf_bert_base_ner,partial,MISC,0.006499133448873483,0.055865921787709494,0.011643702697457792,30,4586,507
hf_bert_base_ner,partial,_ALL,0.17418343349882415,0.1601710798212312,0.1668836370919287,3333,15802,17476
hf_bert_base_ner,exact,PERSON,0.02809834420471651,0.02706621556307395,0.0275726243229936,112,3874,4026
hf_bert_base_ner,exact,ORG,0.03280967607396079,0.12127440904419322,0.05164678848889374,236,6957,1710
hf_bert_base_ner,exact,LOC,0.22065868263473054,0.5051405071967101,0.30714732235882475,737,2603,722
hf_bert_base_ner,exact,DATETIME,0.0,0.0,0.0,0,0,9536
hf_bert_base_ner,exact,QUANTITY,0.0,0.0,0.0,0,0,664
hf_bert_base_ner,exact,CODE,0.0,0.0,0.0,0,0,1612
hf_bert_base_ner,exact,DEM,0.0,0.0,0.0,0,0,917
hf_bert_base_ner,exact,MISC,0.0010831889081455806,0.00931098696461825,0.001940617116242965,5,4611,532
hf_bert_base_ner,exact,_ALL,0.0569636791220277,0.05238118121966457,0.05457640696975766,1090,18045,19719
