model,mode,entity_type,precision,recall,f1,tp,fp,fn
presidio_stock,partial,PERSON,0.7767393561786086,0.903818269695505,0.8354741427454484,3740,1075,398
presidio_stock,partial,ORG,0.128739800543971,0.7297019527235354,0.21886559802712705,1420,9610,526
presidio_stock,partial,LOC,0.29677583142929675,0.8012337217272104,0.4331233790292701,1169,2770,290
presidio_stock,partial,DATETIME,0.7855305733012528,0.9928691275167785,0.877113344758905,9468,2585,68
presidio_stock,partial,QUANTITY,0.0,0.0,0.0,0,0,664
presidio_stock,partial,CODE,0.0,0.0,0.0,0,0,1612
presidio_stock,partial,DEM,0.37831021437578816,0.3271537622682661,0.3508771929824562,300,493,617
presidio_stock,partial,MISC,0.0,0.0,0.0,0,0,537
presidio_stock,partial,_ALL,0.4933190315660435,0.7735595175164592,0.6024439080072607,16097,16533,4712
presidio_stock,exact,PERSON,0.1395638629283489,0.1623972933784437,0.15011727912431586,672,4143,3466
presidio_stock,exact,ORG,0.05339981867633726,0.302672147995889,0.0907829839704069,589,10441,1357
presidio_stock,exact,LOC,0.246001523229246,0.6641535298149417,0.3590218599481289,969,2970,490
presidio_stock,exact,DATETIME,0.7368290052269144,0.9313129194630873,0.8227337996201768,8881,3172,655
presidio_stock,exact,QUANTITY,0.0,0.0,0.0,0,0,664
presidio_stock,exact,CODE,0.0,0.0,0.0,0,0,1612
presidio_stock,exact,DEM,0.31525851197982346,0.27262813522355506,0.2923976608187134,250,543,667
presidio_stock,exact,MISC,0.0,0.0,0.0,0,0,537
presidio_stock,exact,_ALL,0.34817652467054855,0.5459656879234946,0.42519508224330543,11361,21269,9448
presidio_plus_case_number,partial,PERSON,0.7767393561786086,0.903818269695505,0.8354741427454484,3740,1075,398
presidio_plus_case_number,partial,ORG,0.128739800543971,0.7297019527235354,0.21886559802712705,1420,9610,526
presidio_plus_case_number,partial,LOC,0.29677583142929675,0.8012337217272104,0.4331233790292701,1169,2770,290
presidio_plus_case_number,partial,DATETIME,0.7855305733012528,0.9928691275167785,0.877113344758905,9468,2585,68
presidio_plus_case_number,partial,QUANTITY,0.0,0.0,0.0,0,0,664
presidio_plus_case_number,partial,CODE,0.84375,0.016749379652605458,0.03284671532846715,27,5,1585
presidio_plus_case_number,partial,DEM,0.37831021437578816,0.3271537622682661,0.3508771929824562,300,493,617
presidio_plus_case_number,partial,MISC,0.0,0.0,0.0,0,0,537
presidio_plus_case_number,partial,_ALL,0.49366235992896945,0.774857033014561,0.6030932655084064,16124,16538,4685
presidio_plus_case_number,exact,PERSON,0.1395638629283489,0.1623972933784437,0.15011727912431586,672,4143,3466
presidio_plus_case_number,exact,ORG,0.05339981867633726,0.302672147995889,0.0907829839704069,589,10441,1357
presidio_plus_case_number,exact,LOC,0.246001523229246,0.6641535298149417,0.3590218599481289,969,2970,490
presidio_plus_case_number,exact,DATETIME,0.7368290052269144,0.9313129194630873,0.8227337996201768,8881,3172,655
presidio_plus_case_number,exact,QUANTITY,0.0,0.0,0.0,0,0,664
presidio_plus_case_number,exact,CODE,0.0,0.0,0.0,0,32,1612
presidio_plus_case_number,exact,DEM,0.31525851197982346,0.27262813522355506,0.2923976608187134,250,543,667
presidio_plus_case_number,exact,MISC,0.0,0.0,0.0,0,0,537
presidio_plus_case_number,exact,_ALL,0.3478354050578654,0.5459656879234946,0.4249406220194124,11361,21301,9448
