label,doc_id,entity_id,entity_type,mentions_found,mentions_total,entity_recall
baseline,001-61807,001-61807_a1_e1,CODE,0,1,0.0
baseline,001-61807,001-61807_a1_e4,PERSON,1,1,1.0
baseline,001-61807,001-61807_a1_e5,PERSON,1,1,1.0
baseline,001-61807,001-61807_a1_e6,PERSON,1,1,1.0
baseline,001-61807,001-61807_a1_e7,PERSON,1,1,1.0
baseline,001-61807,001-61807_a1_e8,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e9,PERSON,1,1,1.0
baseline,001-61807,001-61807_a1_e12,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e13,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e14,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e15,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e16,ORG,1,1,1.0
baseline,001-61807,001-61807_a1_e17,ORG,2,2,1.0
baseline,001-61807,001-61807_a1_e18,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e19,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e22,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e23,ORG,3,3,1.0
baseline,001-61807,001-61807_a1_e25,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e26,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e27,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e29,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e30,DATETIME,1,1,1.0
baseline,001-61807,001-61807_a1_e31,DATETIME,1,1,1.0
baseline,001-61253,001-61253_a1_e1,CODE,0,2,0.0
baseline,001-61253,001-61253_a1_e2,CODE,0,2,0.0
baseline,001-61253,001-61253_a1_e5,PERSON,7,7,1.0
baseline,001-61253,001-61253_a1_e6,DATETIME,1,1,1.0
baseline,001-61253,001-61253_a1_e7,PERSON,2,2,1.0
baseline,001-61253,001-61253_a1_e8,DATETIME,1,1,1.0
baseline,001-61253,001-61253_a1_e10,PERSON,1,1,1.0
baseline,001-61253,001-61253_a1_e12,LOC,1,1,1.0
baseline,001-61253,001-61253_a1_e13,DATETIME,1,1,1.0
