strategy,mode,precision,recall,f1,tp,fp,fn
spacy_alone,partial,0.42822895556324453,0.8326685568744293,0.5655856767475641,17327,23135,3482
spacy_alone,exact,0.28824576145519254,0.5604786390504108,0.38070212661781266,11663,28799,9146
legalbert_alone,partial,0.845580956870139,0.8620789081647364,0.8537502379592615,17939,3276,2870
legalbert_alone,exact,0.7826066462408673,0.7978759190734778,0.7901675233200076,16603,4612,4206
presidio_alone,partial,0.49366235992896945,0.774857033014561,0.6030932655084064,16124,16538,4685
presidio_alone,exact,0.3478354050578654,0.5459656879234946,0.4249406220194124,11361,21301,9448
union(min1),partial,0.4072441374295583,0.8612619539622279,0.5530030701822053,17922,26086,2887
union(min1),exact,0.35300399927285947,0.7465519727041184,0.47934955335791535,15535,28473,5274
consensus(min2),partial,0.5484505969011938,0.8301215820077851,0.6605104674505305,17274,14222,3535
consensus(min2),exact,0.48098171196342393,0.7280023066942188,0.5792562852499761,15149,16347,5660
consensus(min3),partial,0.877751321214937,0.7263203421596425,0.7948879772798991,15114,2105,5695
consensus(min3),exact,0.7973169173587317,0.6597626027199769,0.7220469128010939,13729,3490,7080
routed,partial,0.845580956870139,0.8620789081647364,0.8537502379592615,17939,3276,2870
routed,exact,0.7826066462408673,0.7978759190734778,0.7901675233200076,16603,4612,4206
