model,mode,entity_type,precision,recall,f1,tp,fp,fn
legalbert_finetuned_tab,partial,PERSON,0.8664414414414414,0.9296761720637989,0.8969456749825134,3847,593,291
legalbert_finetuned_tab,partial,ORG,0.6301587301587301,0.6120246659815005,0.6209593326381647,1191,699,755
legalbert_finetuned_tab,partial,LOC,0.7041564792176039,0.7895819054146676,0.744426494345719,1152,484,307
legalbert_finetuned_tab,partial,DATETIME,0.9033576642335767,0.9733640939597316,0.9370551713694413,9282,993,254
legalbert_finetuned_tab,partial,QUANTITY,0.6889460154241646,0.8072289156626506,0.7434119278779474,536,242,128
legalbert_finetuned_tab,partial,CODE,0.9317912218268091,0.9745657568238213,0.9526986052152819,1571,115,41
legalbert_finetuned_tab,partial,DEM,0.5534591194968553,0.38386041439476554,0.4533161622665808,352,284,565
legalbert_finetuned_tab,partial,MISC,0.16393442622950818,0.055865921787709494,0.08333333333333333,30,153,507
legalbert_finetuned_tab,partial,_ALL,0.8344638543021743,0.8631361430150416,0.8485578626603361,17961,3563,2848
legalbert_finetuned_tab,exact,PERSON,0.813963963963964,0.8733687771870469,0.8426206574959199,3614,826,524
legalbert_finetuned_tab,exact,ORG,0.4931216931216931,0.4789311408016444,0.4859228362877998,932,958,1014
legalbert_finetuned_tab,exact,LOC,0.632640586797066,0.7093899931459904,0.6688206785137318,1035,601,424
legalbert_finetuned_tab,exact,DATETIME,0.8654987834549879,0.9325713087248322,0.8977840593609612,8893,1382,643
legalbert_finetuned_tab,exact,QUANTITY,0.5282776349614395,0.6189759036144579,0.5700416088765603,411,367,253
legalbert_finetuned_tab,exact,CODE,0.900355871886121,0.9416873449131513,0.9205579138872044,1518,168,94
legalbert_finetuned_tab,exact,DEM,0.3191823899371069,0.22137404580152673,0.26142949130714743,203,433,714
legalbert_finetuned_tab,exact,MISC,0.02185792349726776,0.0074487895716946,0.011111111111111112,4,179,533
legalbert_finetuned_tab,exact,_ALL,0.7716967106485784,0.7982123119803931,0.7847305884298301,16610,4914,4199
