base_model,seed,lr,epochs,batch_size,grad_accum,grad_checkpointing,max_length,stride,n_train_docs,n_train_chunks,train_minutes,f1_validation,f1_test
roberta-base,42,2e-05,3,8,1,False,384,64,1112,6372,34.6,0.8253278272839237,0.8276753200986726
roberta-base,43,2e-05,3,8,1,False,384,64,1112,6372,35.1,0.8351836037574722,0.8316877364584294
roberta-base,44,2e-05,3,8,1,False,384,64,1112,6372,35.0,0.8404733156242453,0.8419150434170383
roberta-base,45,2e-05,3,8,1,False,384,64,1112,6372,35.0,0.8329365365654233,0.8360951599671862
roberta-base,46,2e-05,3,8,1,False,384,64,1112,6372,35.0,0.8520008887352803,0.8525451246299303
roberta-base,42,1e-05,3,8,1,False,384,64,1112,6372,34.3,0.8478345309768888,0.8479664451670672
roberta-base,42,3e-05,3,8,1,False,384,64,1112,6372,34.1,0.8284118504128217,0.8261804095708246
roberta-base,42,5e-05,3,8,1,False,384,64,1112,6372,34.1,0.8289780968067062,0.8262190018413564
roberta-base,42,2e-05,2,8,1,False,384,64,1112,6372,22.6,0.8440445997033067,0.8486752637749121
roberta-base,42,2e-05,4,8,1,False,384,64,1112,6372,45.3,0.8318147397220119,0.8274331001885846
roberta-base,43,1e-05,3,8,1,False,384,64,1112,6372,37.3,0.8415386447540788,0.847777803754705
roberta-base,44,1e-05,3,8,1,False,384,64,1112,6372,47.9,0.8396032994802842,0.8450480353427924
roberta-base,45,1e-05,3,8,1,False,384,64,1112,6372,34.5,0.8375367403053001,0.8381269973600111
roberta-base,43,2e-05,2,8,1,False,384,64,1112,6372,24.6,0.854911691723836,0.8508761585811655
roberta-base,44,2e-05,2,8,1,False,384,64,1112,6372,24.7,0.8450413223140496,0.8485714285714285
roberta-base,45,2e-05,2,8,1,False,384,64,1112,6372,25.6,0.8394447103877454,0.8458620205142616
models/longformer-base-4096,42,2e-05,3,1,8,False,4096,0,1112,1198,105.8,0.8395301427045918,0.8438824593989618
models/longformer-base-4096,43,2e-05,3,1,8,False,4096,0,1112,1198,702.0,0.8404291306238825,0.8482331442675084
models/longformer-base-4096,44,2e-05,3,1,8,True,4096,0,1112,1198,146.3,0.8298581357707322,0.8386041948895221
models/longformer-base-4096,42,2e-05,2,1,8,True,4096,0,1112,1198,93.9,0.8410578303286864,0.8313716295427902
models/longformer-base-4096,43,2e-05,2,1,8,True,4096,0,1112,1198,93.4,0.8251888687003921,0.8283432201410622
models/longformer-base-4096,42,1e-05,3,1,8,True,4096,0,1112,1198,146.5,0.8233875247238168,0.817250849508914
models/longformer-base-4096,43,1e-05,3,1,8,True,4096,0,1112,1198,139.0,0.8110323386014084,0.8111072862880092
models/longformer-base-4096,42,3e-05,3,1,8,True,4096,0,1112,1198,140.2,0.8605616845622742,0.8588322246858833
models/longformer-base-4096,43,3e-05,3,1,8,True,4096,0,1112,1198,141.5,0.8551412099540247,0.8570138756890325
