base_model,seed,lr,epochs,train_minutes,f1_validation,ci_lo_validation,ci_hi_validation,f1_test,ci_lo_test,ci_hi_test
roberta-base,42,2e-05,3,34.6,0.8253,0.8098,0.8405,0.8277,0.8118,0.8438
roberta-base,43,2e-05,3,35.1,0.8352,0.8199,0.8494,0.8317,0.8158,0.8476
roberta-base,44,2e-05,3,35.0,0.8405,0.8236,0.8574,0.8419,0.8248,0.8583
roberta-base,45,2e-05,3,35.0,0.8329,0.8182,0.847,0.8361,0.8202,0.8519
roberta-base,46,2e-05,3,35.0,0.852,0.8371,0.8658,0.8525,0.8374,0.8666
roberta-base,42,1e-05,3,34.3,0.8478,0.8325,0.862,0.848,0.8314,0.8629
roberta-base,42,3e-05,3,34.1,0.8284,0.8135,0.8425,0.8262,0.8091,0.8431
roberta-base,42,5e-05,3,34.1,0.829,0.815,0.8415,0.8262,0.8083,0.8427
roberta-base,42,2e-05,2,22.6,0.844,0.8296,0.8573,0.8487,0.8333,0.8632
roberta-base,42,2e-05,4,45.3,0.8318,0.8164,0.8464,0.8274,0.8044,0.8481
