policy,entity_type,tp,fp,fn,precision,recall,f1,f1_lo,f1_hi
legacy,_ALL,17440,4623,1240,0.7904636722113947,0.9336188436830836,0.8560979800211079,0.8282473051637285,0.8802986280251137
legacy,ORG,8993,1776,770,0.8350821803324356,0.921130799959029,0.8759984414572375,,
legacy,PERSON,3710,636,26,0.8536585365853658,0.9930406852248393,0.9180895817866864,,
legacy,LOC,1628,372,7,0.814,0.9957186544342508,0.8957359009628612,,
legacy,DEM,1321,323,14,0.8035279805352799,0.9895131086142323,0.886874790198053,,
legacy,MISC,1136,143,95,0.8881939014855356,0.9228269699431356,0.9051792828685259,,
legacy,DATETIME,568,1323,1,0.3003701745108408,0.9982425307557118,0.46178861788617886,,
legacy,QUANTITY,52,4,2,0.9285714285714286,0.9629629629629629,0.9454545454545454,,
legacy,CODE,32,46,0,0.41025641025641024,1.0,0.5818181818181819,,
calibrated_no_guard,_ALL,16174,831,2506,0.9511320199941193,0.8658458244111349,0.9064873196020737,0.8863155060961679,0.9233678939052606
calibrated_no_guard,ORG,8304,252,1459,0.97054698457223,0.8505582300522381,0.9065997052240843,,
calibrated_no_guard,PERSON,3613,579,123,0.8618797709923665,0.9670770877944326,0.9114530776992936,,
calibrated_no_guard,LOC,1585,0,50,1.0,0.9694189602446484,0.984472049689441,,
calibrated_no_guard,DEM,1209,0,126,1.0,0.9056179775280899,0.9504716981132075,,
calibrated_no_guard,MISC,811,0,420,1.0,0.6588139723801787,0.7943192948090108,,
calibrated_no_guard,DATETIME,568,0,1,1.0,0.9982425307557118,0.9991204925241866,,
calibrated_no_guard,QUANTITY,52,0,2,1.0,0.9629629629629629,0.9811320754716981,,
calibrated_no_guard,CODE,32,0,0,1.0,1.0,1.0,,
calibrated_no_initialism,_ALL,15869,733,2811,0.9558486929285628,0.8495182012847966,0.8995521795816563,0.8776981009416336,0.9177328093833674
calibrated_no_initialism,ORG,8055,171,1708,0.9792122538293216,0.8250537744545734,0.8955472788926567,,
calibrated_no_initialism,PERSON,3557,562,179,0.8635591162903618,0.9520877944325482,0.9056651814131126,,
calibrated_no_initialism,LOC,1585,0,50,1.0,0.9694189602446484,0.984472049689441,,
calibrated_no_initialism,DEM,1209,0,126,1.0,0.9056179775280899,0.9504716981132075,,
calibrated_no_initialism,MISC,811,0,420,1.0,0.6588139723801787,0.7943192948090108,,
calibrated_no_initialism,DATETIME,568,0,1,1.0,0.9982425307557118,0.9991204925241866,,
calibrated_no_initialism,QUANTITY,52,0,2,1.0,0.9629629629629629,0.9811320754716981,,
calibrated_no_initialism,CODE,32,0,0,1.0,1.0,1.0,,
calibrated_all_types,_ALL,16343,756,2337,0.9557868881221124,0.8748929336188437,0.9135526426115879,0.893237442186107,0.9300912334273633
calibrated_all_types,ORG,8266,167,1497,0.9801968457251274,0.8466659838164499,0.9085513299626291,,
calibrated_all_types,PERSON,3557,562,179,0.8635591162903618,0.9520877944325482,0.9056651814131126,,
calibrated_all_types,LOC,1585,0,50,1.0,0.9694189602446484,0.984472049689441,,
calibrated_all_types,DEM,1254,11,81,0.991304347826087,0.9393258426966292,0.9646153846153847,,
calibrated_all_types,MISC,1029,16,202,0.9846889952153111,0.8359057676685622,0.9042179261862917,,
calibrated_all_types,DATETIME,568,0,1,1.0,0.9982425307557118,0.9991204925241866,,
calibrated_all_types,QUANTITY,52,0,2,1.0,0.9629629629629629,0.9811320754716981,,
calibrated_all_types,CODE,32,0,0,1.0,1.0,1.0,,
calibrated,_ALL,16080,729,2600,0.9566303765839729,0.860813704496788,0.9061962861731804,0.8856259788564863,0.9237248138520112
calibrated,ORG,8266,167,1497,0.9801968457251274,0.8466659838164499,0.9085513299626291,,
calibrated,PERSON,3557,562,179,0.8635591162903618,0.9520877944325482,0.9056651814131126,,
calibrated,LOC,1585,0,50,1.0,0.9694189602446484,0.984472049689441,,
calibrated,DEM,1209,0,126,1.0,0.9056179775280899,0.9504716981132075,,
calibrated,MISC,811,0,420,1.0,0.6588139723801787,0.7943192948090108,,
calibrated,DATETIME,568,0,1,1.0,0.9982425307557118,0.9991204925241866,,
calibrated,QUANTITY,52,0,2,1.0,0.9629629629629629,0.9811320754716981,,
calibrated,CODE,32,0,0,1.0,1.0,1.0,,
