evidence,entity_type,n,correct,precision_raw,tier_rate,confidence
exact,ORG,15627,15627,1.0,1.0,1.0
exact,PERSON,7019,7019,1.0,1.0,1.0
exact,DATETIME,3998,3998,1.0,1.0,1.0
exact,LOC,3227,3227,1.0,1.0,1.0
exact,DEM,2740,2740,1.0,1.0,1.0
exact,MISC,1992,1992,1.0,1.0,1.0
exact,CODE,351,351,1.0,1.0,1.0
exact,QUANTITY,229,229,1.0,1.0,1.0
exact_casefold,ORG,68,1,0.014705882352941176,0.015748031496062992,0.014942734430923406
exact_casefold,MISC,25,0,0.0,0.015748031496062992,0.00699912510936133
exact_casefold,DEM,17,0,0.0,0.015748031496062992,0.008512449457331346
exact_casefold,PERSON,9,1,0.1111111111111111,0.015748031496062992,0.04534346999728482
exact_casefold,LOC,5,0,0.0,0.015748031496062992,0.012598425196850394
exact_casefold,DATETIME,2,0,0.0,0.015748031496062992,0.014316392269148175
exact_casefold,QUANTITY,1,0,0.0,0.015748031496062992,0.014998125234345707
honorific_only,PERSON,310,206,0.6645161290322581,0.6645161290322581,0.664516129032258
long_over_short_1tok,DATETIME,1353,0,0.0,0.032225579053373615,0.00046941848584666594
long_over_short_1tok,ORG,229,23,0.10043668122270742,0.032225579053373615,0.09495787783561234
long_over_short_1tok,PERSON,145,36,0.2482758620689655,0.032225579053373615,0.2220879489761665
long_over_short_1tok,LOC,139,2,0.014388489208633094,0.032225579053373615,0.016632148308600457
long_over_short_1tok,MISC,57,0,0.0,0.032225579053373615,0.008370280273603536
long_over_short_1tok,DEM,54,2,0.037037037037037035,0.032225579053373615,0.03573664298739827
long_over_short_1tok,CODE,6,1,0.16666666666666666,0.032225579053373615,0.06325044542567201
long_over_short_1tok,QUANTITY,3,0,0.0,0.032225579053373615,0.028022242655107492
long_over_short_multi,ORG,708,89,0.12570621468926554,0.07588279489105935,0.12433743942008404
long_over_short_multi,DATETIME,535,0,0.0,0.07588279489105935,0.002734515131209346
long_over_short_multi,MISC,34,6,0.17647058823529413,0.07588279489105935,0.1392158499596516
long_over_short_multi,PERSON,17,6,0.35294117647058826,0.07588279489105935,0.20317988913030235
long_over_short_multi,LOC,14,0,0.0,0.07588279489105935,0.044636938171211386
long_over_short_multi,QUANTITY,13,0,0.0,0.07588279489105935,0.0459895726612481
long_over_short_multi,DEM,10,0,0.0,0.07588279489105935,0.05058852992737291
short_in_long_1tok,PERSON,1473,938,0.636795655125594,0.4682296975874958,0.6345375713005693
short_in_long_1tok,ORG,587,370,0.6303236797274276,0.4682296975874958,0.6249828565926687
short_in_long_1tok,DATETIME,563,1,0.0017761989342806395,0.4682296975874958,0.0177780342225556
short_in_long_1tok,LOC,125,16,0.128,0.4682296975874958,0.17492823414999942
short_in_long_1tok,MISC,111,43,0.38738738738738737,0.4682296975874958,0.39972972482251845
short_in_long_1tok,DEM,72,10,0.1388888888888889,0.4682296975874958,0.21048471686684692
short_in_long_1tok,QUANTITY,12,0,0.0,0.4682296975874958,0.29264356099218486
short_in_long_multi,ORG,1755,596,0.3396011396011396,0.26395534290271133,0.33874879259608687
short_in_long_multi,DATETIME,560,3,0.005357142857142857,0.26395534290271133,0.014274322169059012
short_in_long_multi,PERSON,76,37,0.4868421052631579,0.26395534290271133,0.44040736310473155
short_in_long_multi,MISC,55,13,0.23636363636363636,0.26395534290271133,0.24372142477405637
short_in_long_multi,DEM,24,3,0.125,0.26395534290271133,0.18816151950123244
short_in_long_multi,LOC,19,5,0.2631578947368421,0.26395534290271133,0.263566842514211
short_in_long_multi,QUANTITY,16,2,0.125,0.26395534290271133,0.20219741272372851
short_in_long_multi,CODE,3,3,1.0,0.26395534290271133,0.3599611677414881
