split,evidence,entity_type,n,correct,precision_raw,tier_rate,confidence
test,exact,ORG,2649,2649,1.0,1.0,1.0
test,exact,PERSON,975,975,1.0,1.0,1.0
test,exact,LOC,714,714,1.0,1.0,1.0
test,exact,DATETIME,495,495,1.0,1.0,1.0
test,exact,DEM,490,490,1.0,1.0,1.0
test,exact,MISC,435,435,1.0,1.0,1.0
test,exact,QUANTITY,41,41,1.0,1.0,1.0
test,exact,CODE,29,29,1.0,1.0,1.0
test,exact_casefold,ORG,22,0,0.0,0.0,0.0
test,exact_casefold,MISC,6,0,0.0,0.0,0.0
test,exact_casefold,DEM,4,0,0.0,0.0,0.0
test,exact_casefold,LOC,3,0,0.0,0.0,0.0
test,exact_casefold,PERSON,2,0,0.0,0.0,0.0
test,honorific_only,PERSON,46,27,0.5869565217391305,0.5869565217391305,0.5869565217391305
test,long_over_short_1tok,DATETIME,277,0,0.0,0.040865384615384616,0.0027518777518777517
test,long_over_short_1tok,ORG,46,7,0.15217391304347827,0.040865384615384616,0.11844405594405595
test,long_over_short_1tok,DEM,29,2,0.06896551724137931,0.040865384615384616,0.05749607535321821
test,long_over_short_1tok,LOC,29,2,0.06896551724137931,0.040865384615384616,0.05749607535321821
test,long_over_short_1tok,CODE,13,0,0.0,0.040865384615384616,0.024766899766899768
test,long_over_short_1tok,PERSON,12,5,0.4166666666666667,0.040865384615384616,0.1817908653846154
test,long_over_short_1tok,MISC,6,1,0.16666666666666666,0.040865384615384616,0.06989644970414201
test,long_over_short_1tok,QUANTITY,4,0,0.0,0.040865384615384616,0.034054487179487176
test,long_over_short_multi,DATETIME,138,0,0.0,0.10666666666666667,0.01350210970464135
test,long_over_short_multi,ORG,129,17,0.13178294573643412,0.10666666666666667,0.12841163310961967
test,long_over_short_multi,MISC,30,14,0.4666666666666667,0.10666666666666667,0.32266666666666666
test,long_over_short_multi,PERSON,3,1,0.3333333333333333,0.10666666666666667,0.13623188405797101
test,short_in_long_1tok,PERSON,407,255,0.6265356265356266,0.5095613048368954,0.6210567355895502
test,short_in_long_1tok,ORG,166,108,0.6506024096385542,0.5095613048368954,0.6354366994448275
test,short_in_long_1tok,DATETIME,141,0,0.0,0.5095613048368954,0.06329954097352739
test,short_in_long_1tok,MISC,83,74,0.891566265060241,0.5095613048368954,0.8173905446285233
test,short_in_long_1tok,LOC,47,7,0.14893617021276595,0.5095613048368954,0.2565854641304165
test,short_in_long_1tok,DEM,43,9,0.20930232558139536,0.5095613048368954,0.3046226364561572
test,short_in_long_1tok,CODE,2,0,0.0,0.5095613048368954,0.4632375498517231
test,short_in_long_multi,ORG,384,178,0.4635416666666667,0.3539325842696629,0.4581154744687952
test,short_in_long_multi,DATETIME,115,0,0.0,0.3539325842696629,0.05243445692883895
test,short_in_long_multi,DEM,16,5,0.3125,0.3539325842696629,0.33551810237203494
test,short_in_long_multi,MISC,14,4,0.2857142857142857,0.3539325842696629,0.32584269662921345
test,short_in_long_multi,LOC,4,1,0.25,0.3539325842696629,0.33661048689138573
test,short_in_long_multi,PERSON,1,1,1.0,0.3539325842696629,0.3846976993044408
