min_link_confidence,tp,fp,fn,precision,recall,f1
0.0,17004,4066,1676,0.8070242050308496,0.9102783725910064,0.8555471698113208
0.05,16969,2508,1711,0.871232736047646,0.9084047109207709,0.8894305107843908
0.1,16926,2154,1754,0.8871069182389937,0.90610278372591,0.8965042372881357
0.15,16802,1524,1878,0.9168394630579505,0.8994646680942184,0.9080689617899801
0.2,16758,1329,1922,0.926521811245646,0.8971092077087794,0.9115783175129872
0.3,16668,1142,2012,0.9358787198203257,0.8922912205567451,0.9135653603727047
0.4,16151,736,2529,0.9564161781251851,0.8646145610278373,0.908201422667079
0.5,16001,727,2679,0.9565399330463893,0.8565845824411135,0.9038070492544058
0.6,16001,727,2679,0.9565399330463893,0.8565845824411135,0.9038070492544058
0.65,14848,283,3832,0.9812966756988963,0.7948608137044968,0.8782940463162876
0.7,14764,0,3916,1.0,0.7903640256959314,0.8829087429733286
0.9,14764,0,3916,1.0,0.7903640256959314,0.8829087429733286
1.0,14764,0,3916,1.0,0.7903640256959314,0.8829087429733286
