model,mode,entity_type,precision,recall,f1,tp,fp,fn
longformer_finetuned_tab,partial,PERSON,0.8481754995655951,0.9436926051232479,0.8933882406771906,3905,699,233
longformer_finetuned_tab,partial,ORG,0.6832504145936982,0.6351490236382322,0.6583222370173103,1236,573,710
longformer_finetuned_tab,partial,LOC,0.7170278637770898,0.7936943111720356,0.7534157449577098,1158,457,301
longformer_finetuned_tab,partial,DATETIME,0.9307250176464656,0.9679110738255033,0.9489538888603302,9230,687,306
longformer_finetuned_tab,partial,QUANTITY,0.7545731707317073,0.7454819277108434,0.75,495,161,169
longformer_finetuned_tab,partial,CODE,0.7039007092198581,0.9851116625310173,0.8210961737331955,1588,668,24
longformer_finetuned_tab,partial,DEM,0.6317829457364341,0.3555070883315158,0.4549895324494068,326,190,591
longformer_finetuned_tab,partial,MISC,0.2948717948717949,0.04283054003724395,0.07479674796747968,23,55,514
longformer_finetuned_tab,partial,_ALL,0.8373036222087549,0.8631361430150416,0.850023663038334,17961,3490,2848
longformer_finetuned_tab,exact,PERSON,0.7576020851433536,0.8429192846785887,0.7979867307252344,3488,1116,650
longformer_finetuned_tab,exact,ORG,0.5146489773355445,0.4784172661870504,0.4958721704394141,931,878,1015
longformer_finetuned_tab,exact,LOC,0.6414860681114551,0.7100753941055518,0.6740403383214053,1036,579,423
longformer_finetuned_tab,exact,DATETIME,0.892104467076737,0.9277474832214765,0.9095769290083792,8847,1070,689
longformer_finetuned_tab,exact,QUANTITY,0.5594512195121951,0.552710843373494,0.556060606060606,367,289,297
longformer_finetuned_tab,exact,CODE,0.42021276595744683,0.5880893300248139,0.4901758014477766,948,1308,664
longformer_finetuned_tab,exact,DEM,0.3817829457364341,0.2148309705561614,0.2749476622470342,197,319,720
longformer_finetuned_tab,exact,MISC,0.10256410256410256,0.0148975791433892,0.026016260162601626,8,70,529
longformer_finetuned_tab,exact,_ALL,0.7375879912358398,0.7603440818876448,0.7487931850449597,15822,5629,4987
