model,mode,entity_type,precision,recall,f1,tp,fp,fn
ensemble_v1,partial,PERSON,0.8031098546042004,0.9610923151280812,0.8750275027502752,3977,975,161
ensemble_v1,partial,ORG,0.14423583084751712,0.8448098663926003,0.24640287769784175,1644,9754,302
ensemble_v1,partial,LOC,0.32006442705936494,0.9533927347498287,0.47924203273040483,1391,2955,68
ensemble_v1,partial,DATETIME,0.8164978793386999,0.9891988255033557,0.8945895964720944,9433,2120,103
ensemble_v1,partial,QUANTITY,0.11935067330750784,0.9743975903614458,0.21265406737880033,647,4774,17
ensemble_v1,partial,CODE,0.925531914893617,0.21588089330024815,0.3501006036217304,348,28,1264
ensemble_v1,partial,DEM,0.4392523364485981,0.4612868047982552,0.45,423,540,494
ensemble_v1,partial,MISC,0.011802360472094419,0.10986964618249534,0.021315028901734104,59,4940,478
ensemble_v1,partial,_ALL,0.4072441374295583,0.8612619539622279,0.5530030701822053,17922,26086,2887
ensemble_v1,exact,PERSON,0.7427302100161551,0.888835186080232,0.8092409240924092,3678,1274,460
ensemble_v1,exact,ORG,0.06650289524477979,0.3895169578622816,0.11360911270983212,758,10640,1188
ensemble_v1,exact,LOC,0.2791072250345145,0.8313913639479096,0.4179155900086133,1213,3133,246
ensemble_v1,exact,DATETIME,0.7653423353241582,0.9272231543624161,0.8385414196974725,8842,2711,694
ensemble_v1,exact,QUANTITY,0.0795056262682162,0.6490963855421686,0.14165981922760887,431,4990,233
ensemble_v1,exact,CODE,0.7127659574468085,0.1662531017369727,0.26961770623742454,268,108,1344
ensemble_v1,exact,DEM,0.34579439252336447,0.36314067611777534,0.3542553191489362,333,630,584
ensemble_v1,exact,MISC,0.002400480096019204,0.0223463687150838,0.004335260115606937,12,4987,525
ensemble_v1,exact,_ALL,0.35300399927285947,0.7465519727041184,0.47934955335791535,15535,28473,5274
