mode,entity_type,precision,recall,f1,tp,fp,fn
partial,PERSON,0.8495803744351195,0.9540840985983567,0.8988047808764941,3948,699,190
partial,ORG,0.181576820962715,0.8083247687564235,0.2965406730134791,1573,7090,373
partial,LOC,0.3100827185334228,0.9506511309115833,0.4676331759946056,1387,3086,72
partial,DATETIME,0.8378570792916259,0.9873112416107382,0.906465122996197,9415,1822,121
partial,QUANTITY,0.11791179117911792,0.9864457831325302,0.2106447981990674,655,4900,9
partial,CODE,0.0,0.0,0.0,0,0,1612
partial,DEM,0.3488108720271801,0.33587786259541985,0.3422222222222222,308,575,609
partial,MISC,0.008193445243804956,0.07635009310986965,0.014798772784695904,41,4963,496
partial,_ALL,0.42822895556324453,0.8326685568744293,0.5655856767475641,17327,23135,3482
exact,PERSON,0.0740262534968797,0.08313194780086998,0.07831531018782015,344,4303,3794
exact,ORG,0.08068798337758282,0.3591983556012333,0.13177490809689885,699,7964,1247
exact,LOC,0.265369997764364,0.8135709389993147,0.40020229265003376,1187,3286,272
exact,DATETIME,0.784818011924891,0.9248112416107382,0.8490829442064217,8819,2418,717
exact,QUANTITY,0.06102610261026103,0.5105421686746988,0.10902074288470816,339,5216,325
exact,CODE,0.0,0.0,0.0,0,0,1612
exact,DEM,0.2955832389580974,0.2846237731733915,0.29000000000000004,261,622,656
exact,MISC,0.002797761790567546,0.0260707635009311,0.005053239487457138,14,4990,523
exact,_ALL,0.28824576145519254,0.5604786390504108,0.38070212661781266,11663,28799,9146
